iter	Passed	Remaining
0	7	7298
1	14	7112
2	21	7082
3	22	5663
4	28	5764
5	33	5632
6	41	5882
7	49	6085
8	56	6233
9	64	6417
10	66	6022
11	70	5781
12	77	5847
13	80	5676
14	86	5686
15	90	5561
16	94	5488
17	101	5529
18	110	5688
19	117	5746
20	123	5734
21	132	5890
22	142	6033
23	149	6063
24	153	5989
25	157	5918
26	163	5896
27	173	6005
28	181	6083
29	187	6061
30	193	6053
31	201	6083
32	210	6160
33	214	6086
34	218	6012
35	224	6003
36	228	5948
37	234	5938
38	242	5968
39	246	5916
40	252	5912
41	259	5911
42	265	5911
43	270	5881
44	278	5906
45	283	5882
46	289	5865
47	296	5885
48	303	5884
49	310	5894
50	317	5903
51	322	5878
52	329	5889
53	332	5828
54	340	5847
55	344	5802
56	349	5778
57	355	5779
58	366	5852
59	374	5859
60	381	5874
61	383	5808
62	395	5875
63	416	6093
64	422	6070
65	433	6136
66	436	6077
67	449	6154
68	457	6171
69	463	6153
70	469	6148
71	477	6156
72	496	6301
73	506	6337
74	511	6306
75	515	6270
76	519	6225
77	524	6195
78	528	6164
79	532	6124
80	536	6081
81	541	6058
82	545	6022
83	561	6124
84	567	6107
85	574	6105
86	579	6076
87	593	6154
88	607	6213
89	610	6174
90	617	6166
91	621	6136
92	624	6092
93	627	6049
94	631	6016
95	637	6003
96	641	5972
97	644	5935
98	648	5902
99	652	5876
100	657	5848
101	658	5801
102	662	5773
103	668	5756
104	670	5717
105	673	5683
106	676	5648
107	680	5616
108	687	5623
109	692	5602
110	696	5577
111	701	5564
112	704	5530
113	707	5501
114	710	5469
115	715	5450
116	718	5421
117	721	5391
118	724	5363
119	727	5332
120	730	5306
121	734	5286
122	737	5255
123	740	5229
124	743	5203
125	747	5183
126	750	5156
127	753	5130
128	756	5105
129	758	5078
130	767	5089
131	770	5064
132	772	5036
133	775	5010
134	780	5001
135	783	4979
136	786	4953
137	788	4928
138	792	4907
139	796	4893
140	799	4867
141	800	4836
142	803	4814
143	805	4790
144	810	4776
145	812	4754
146	815	4730
147	817	4707
148	820	4685
149	823	4664
150	826	4648
151	830	4633
152	833	4611
153	836	4597
154	840	4579
155	844	4568
156	847	4548
157	849	4529
158	852	4509
159	855	4491
160	859	4476
161	862	4459
162	865	4442
163	867	4423
164	873	4418
165	876	4401
166	878	4383
167	882	4369
168	885	4352
169	889	4340
170	892	4327
171	895	4309
172	897	4291
173	900	4274
174	904	4261
175	906	4245
176	909	4227
177	911	4210
178	914	4193
179	916	4176
180	920	4166
181	924	4154
182	926	4137
183	929	4120
184	931	4104
185	935	4094
186	938	4081
187	941	4065
188	943	4049
189	946	4033
190	948	4018
191	952	4006
192	954	3991
193	957	3976
194	959	3961
195	962	3946
196	967	3944
197	970	3930
198	973	3917
199	975	3903
200	978	3889
201	982	3881
202	986	3872
203	988	3857
204	991	3843
205	993	3830
206	996	3818
207	1001	3814
208	1004	3803
209	1009	3796
210	1013	3790
211	1017	3781
212	1021	3773
213	1024	3761
214	1026	3748
215	1030	3740
216	1033	3730
217	1036	3719
218	1039	3707
219	1042	3697
220	1046	3690
221	1049	3678
222	1053	3670
223	1056	3658
224	1059	3651
225	1064	3644
226	1067	3633
227	1069	3621
228	1072	3610
229	1076	3602
230	1079	3593
231	1082	3584
232	1085	3573
233	1088	3562
234	1092	3555
235	1095	3547
236	1098	3536
237	1101	3526
238	1104	3516
239	1109	3513
240	1112	3502
241	1114	3492
242	1117	3480
243	1119	3470
244	1122	3459
245	1126	3453
246	1129	3443
247	1132	3433
248	1135	3424
249	1138	3415
250	1143	3411
251	1146	3402
252	1148	3390
253	1151	3382
254	1159	3386
255	1162	3377
256	1165	3369
257	1168	3360
258	1172	3355
259	1175	3345
260	1178	3335
261	1180	3326
262	1183	3317
263	1187	3311
264	1191	3303
265	1194	3295
266	1197	3287
267	1202	3284
268	1205	3276
269	1208	3268
270	1212	3261
271	1215	3252
272	1219	3247
273	1222	3239
274	1225	3232
275	1228	3222
276	1233	3218
277	1236	3211
278	1239	3202
279	1242	3194
280	1245	3186
281	1249	3182
282	1252	3173
283	1255	3164
284	1257	3155
285	1259	3144
286	1262	3136
287	1266	3129
288	1269	3122
289	1271	3113
290	1274	3105
291	1279	3102
292	1282	3095
293	1285	3086
294	1287	3078
295	1290	3069
296	1293	3061
297	1297	3056
298	1299	3047
299	1302	3039
300	1304	3030
301	1307	3022
302	1314	3023
303	1317	3017
304	1322	3012
305	1328	3012
306	1331	3004
307	1334	2998
308	1337	2991
309	1340	2984
310	1346	2982
311	1349	2975
312	1352	2969
313	1356	2963
314	1363	2965
315	1367	2959
316	1372	2957
317	1376	2952
318	1380	2946
319	1383	2940
320	1386	2932
321	1390	2926
322	1393	2919
323	1395	2912
324	1398	2904
325	1401	2897
326	1404	2891
327	1407	2884
328	1410	2877
329	1414	2871
330	1418	2866
331	1420	2858
332	1423	2851
333	1426	2844
334	1429	2836
335	1431	2828
336	1435	2823
337	1438	2816
338	1441	2810
339	1444	2803
340	1446	2796
341	1451	2792
342	1454	2786
343	1457	2780
344	1461	2774
345	1466	2771
346	1469	2765
347	1472	2758
348	1474	2750
349	1477	2743
350	1481	2738
351	1484	2732
352	1486	2724
353	1488	2716
354	1490	2708
355	1492	2700
356	1493	2690
357	1497	2685
358	1500	2678
359	1502	2671
360	1505	2664
361	1507	2657
362	1510	2650
363	1514	2646
364	1518	2641
365	1521	2635
366	1524	2628
367	1528	2624
368	1531	2619
369	1534	2612
370	1537	2606
371	1540	2601
372	1544	2596
373	1548	2591
374	1550	2584
375	1551	2575
376	1554	2568
377	1556	2561
378	1560	2556
379	1562	2549
380	1564	2542
381	1567	2535
382	1570	2529
383	1572	2523
384	1577	2519
385	1579	2513
386	1582	2506
387	1585	2500
388	1588	2494
389	1589	2486
390	1593	2481
391	1595	2474
392	1598	2468
393	1601	2463
394	1604	2457
395	1609	2454
396	1612	2449
397	1615	2443
398	1618	2437
399	1623	2435
400	1627	2431
401	1631	2427
402	1634	2421
403	1640	2419
404	1643	2415
405	1646	2409
406	1650	2404
407	1654	2401
408	1657	2395
409	1660	2390
410	1663	2384
411	1667	2379
412	1672	2377
413	1676	2372
414	1679	2366
415	1682	2361
416	1687	2359
417	1690	2353
418	1693	2347
419	1696	2342
420	1700	2339
421	1703	2333
422	1706	2328
423	1709	2322
424	1712	2316
425	1718	2315
426	1720	2309
427	1723	2303
428	1726	2298
429	1730	2293
430	1735	2290
431	1738	2285
432	1741	2279
433	1744	2274
434	1747	2269
435	1750	2264
436	1753	2258
437	1755	2252
438	1758	2247
439	1761	2241
440	1765	2237
441	1767	2231
442	1770	2225
443	1773	2220
444	1775	2214
445	1778	2209
446	1782	2205
447	1785	2199
448	1788	2194
449	1790	2188
450	1794	2184
451	1797	2179
452	1800	2173
453	1803	2168
454	1806	2163
455	1808	2157
456	1812	2153
457	1815	2148
458	1818	2143
459	1821	2137
460	1823	2132
461	1828	2129
462	1831	2124
463	1834	2118
464	1836	2113
465	1839	2108
466	1844	2104
467	1846	2099
468	1848	2093
469	1851	2087
470	1854	2082
471	1858	2078
472	1860	2073
473	1863	2067
474	1866	2062
475	1868	2057
476	1871	2051
477	1874	2047
478	1877	2042
479	1880	2036
480	1882	2031
481	1885	2025
482	1889	2022
483	1892	2017
484	1894	2011
485	1897	2006
486	1899	2000
487	1903	1997
488	1907	1993
489	1910	1988
490	1912	1982
491	1915	1977
492	1917	1972
493	1920	1967
494	1923	1961
495	1925	1956
496	1927	1951
497	1929	1945
498	1932	1940
499	1936	1936
500	1938	1930
501	1941	1925
502	1943	1920
503	1945	1914
504	1948	1909
505	1951	1905
506	1953	1899
507	1956	1894
508	1958	1889
509	1960	1883
510	1962	1878
511	1966	1873
512	1968	1868
513	1970	1863
514	1972	1857
515	1974	1852
516	1976	1846
517	1979	1842
518	1982	1837
519	1984	1832
520	1987	1827
521	1989	1821
522	1991	1816
523	1993	1811
524	1996	1806
525	1999	1801
526	2001	1796
527	2003	1790
528	2005	1785
529	2007	1780
530	2009	1774
531	2011	1769
532	2013	1764
533	2016	1759
534	2018	1754
535	2020	1749
536	2022	1744
537	2025	1739
538	2028	1735
539	2031	1730
540	2033	1725
541	2035	1720
542	2037	1714
543	2039	1709
544	2042	1705
545	2045	1700
546	2047	1695
547	2049	1690
548	2051	1685
549	2053	1680
550	2055	1675
551	2058	1670
552	2062	1667
553	2064	1662
554	2066	1656
555	2068	1651
556	2070	1646
557	2072	1641
558	2075	1637
559	2078	1633
560	2080	1628
561	2082	1623
562	2084	1618
563	2086	1613
564	2089	1608
565	2093	1604
566	2095	1599
567	2097	1594
568	2098	1589
569	2101	1584
570	2102	1579
571	2105	1575
572	2108	1571
573	2110	1566
574	2112	1561
575	2114	1556
576	2116	1551
577	2119	1547
578	2122	1543
579	2125	1538
580	2127	1534
581	2129	1529
582	2131	1524
583	2134	1520
584	2138	1516
585	2141	1513
586	2143	1508
587	2146	1503
588	2148	1499
589	2150	1494
590	2153	1490
591	2156	1486
592	2158	1481
593	2160	1476
594	2162	1471
595	2164	1467
596	2167	1463
597	2170	1459
598	2172	1454
599	2175	1450
600	2176	1445
601	2179	1440
602	2181	1436
603	2187	1434
604	2189	1429
605	2191	1424
606	2193	1420
607	2196	1415
608	2198	1411
609	2201	1407
610	2204	1403
611	2206	1398
612	2208	1394
613	2210	1389
614	2213	1385
615	2217	1382
616	2219	1378
617	2222	1373
618	2224	1369
619	2226	1364
620	2228	1360
621	2236	1359
622	2238	1354
623	2240	1350
624	2242	1345
625	2244	1340
626	2247	1337
627	2250	1332
628	2251	1328
629	2253	1323
630	2255	1318
631	2257	1314
632	2259	1309
633	2260	1305
634	2264	1301
635	2266	1297
636	2268	1292
637	2270	1288
638	2272	1284
639	2274	1279
640	2277	1275
641	2280	1271
642	2282	1267
643	2284	1262
644	2286	1258
645	2288	1254
646	2290	1249
647	2292	1245
648	2295	1241
649	2297	1237
650	2299	1232
651	2301	1228
652	2302	1223
653	2304	1219
654	2306	1214
655	2308	1210
656	2311	1206
657	2313	1202
658	2315	1197
659	2317	1193
660	2318	1189
661	2321	1185
662	2323	1180
663	2326	1177
664	2328	1172
665	2330	1168
666	2331	1164
667	2333	1159
668	2335	1155
669	2337	1151
670	2339	1146
671	2341	1143
672	2343	1138
673	2345	1134
674	2347	1130
675	2349	1126
676	2351	1121
677	2353	1117
678	2355	1113
679	2357	1109
680	2359	1105
681	2361	1101
682	2363	1096
683	2365	1092
684	2367	1088
685	2369	1084
686	2371	1080
687	2374	1076
688	2376	1072
689	2378	1068
690	2380	1064
691	2382	1060
692	2383	1056
693	2385	1051
694	2388	1048
695	2390	1043
696	2391	1039
697	2393	1035
698	2395	1031
699	2397	1027
700	2399	1023
701	2400	1019
702	2403	1015
703	2405	1011
704	2407	1007
705	2409	1003
706	2411	999
707	2413	995
708	2414	991
709	2416	987
710	2418	983
711	2420	979
712	2422	975
713	2424	971
714	2426	967
715	2428	963
716	2430	959
717	2432	955
718	2434	951
719	2436	947
720	2438	943
721	2440	939
722	2442	935
723	2444	931
724	2446	927
725	2447	923
726	2449	919
727	2451	916
728	2453	912
729	2455	908
730	2457	904
731	2459	900
732	2461	896
733	2463	892
734	2465	888
735	2468	885
736	2470	881
737	2472	877
738	2474	873
739	2476	869
740	2478	866
741	2479	862
742	2481	858
743	2484	854
744	2486	851
745	2488	847
746	2490	843
747	2491	839
748	2493	835
749	2495	831
750	2497	827
751	2500	824
752	2502	820
753	2504	816
754	2506	813
755	2508	809
756	2509	805
757	2511	801
758	2514	798
759	2516	794
760	2518	790
761	2520	787
762	2522	783
763	2524	779
764	2526	775
765	2528	772
766	2530	768
767	2532	765
768	2534	761
769	2536	757
770	2537	753
771	2539	750
772	2541	746
773	2543	742
774	2545	738
775	2547	735
776	2549	731
777	2551	728
778	2553	724
779	2555	720
780	2558	717
781	2560	713
782	2562	710
783	2565	706
784	2567	703
785	2569	699
786	2571	696
787	2573	692
788	2575	688
789	2579	685
790	2582	682
791	2584	678
792	2586	675
793	2588	671
794	2590	667
795	2594	664
796	2597	661
797	2599	657
798	2601	654
799	2603	650
800	2605	647
801	2607	643
